rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
105,frame_0188.jpg,75.2,0.4531,0.6902,0.3333,0.04,11,2,False,False
106,frame_0384.jpg,153.6,0.4521,0.6403,0.3333,0.16,11,2,False,False
107,frame_0082.jpg,32.8,0.4518,0.4317,0.3333,0.68,8,2,False,False
108,frame_0398.jpg,159.2,0.4512,0.5065,0.5,0.24,9,3,False,False
109,frame_0276.jpg,110.4,0.449,0.5019,0.5,0.24,9,3,False,False
110,frame_0391.jpg,156.4,0.4471,0.5782,0.5,0.04,10,3,False,False
111,frame_0327.jpg,130.8,0.4452,0.6744,0.3333,0.04,10,2,False,False
112,frame_0397.jpg,158.8,0.4452,0.6105,0.3333,0.2,9,2,False,False
113,frame_0068.jpg,27.2,0.4433,0.3866,0.1667,1.0,6,1,False,False
114,frame_0390.jpg,156.0,0.4413,0.7506,0.1667,0.08,7,1,False,False
115,frame_0202.jpg,80.8,0.4404,0.5408,0.1667,0.6,5,1,False,False
116,frame_0171.jpg,68.4,0.4401,0.5042,0.3333,0.44,7,2,False,False
117,frame_0287.jpg,114.8,0.4393,0.5066,0.1667,0.68,6,1,False,False
118,frame_0120.jpg,48.0,0.4363,0.4646,0.3333,0.52,7,2,False,False
119,frame_0108.jpg,43.2,0.4359,0.6558,0.3333,0.04,9,2,False,False
120,frame_0098.jpg,39.2,0.4345,0.5529,0.5,0.04,6,3,False,False
121,frame_0130.jpg,52.0,0.4294,0.3908,0.1667,0.92,6,1,False,False
122,frame_0003.jpg,1.2,0.4289,0.3578,0.1667,1.0,6,1,False,False
123,frame_0096.jpg,38.4,0.4285,0.509,0.5,0.12,9,3,False,False
124,frame_0210.jpg,84.0,0.4267,0.4814,0.1667,0.68,3,1,False,False
125,frame_0004.jpg,1.6,0.4229,0.4458,0.0,1.0,7,0,False,False
126,frame_0103.jpg,41.2,0.4181,0.6721,0.1667,0.16,7,1,False,False
127,frame_0129.jpg,51.6,0.4173,0.3825,0.1667,0.88,5,1,False,False
128,frame_0121.jpg,48.4,0.4149,0.4058,0.3333,0.56,8,2,False,False
129,frame_0019.jpg,7.6,0.411,0.322,0.1667,1.0,4,1,False,False
130,frame_0190.jpg,76.0,0.4101,0.4721,0.5,0.12,6,3,False,False
131,frame_0395.jpg,158.0,0.41,0.472,0.5,0.12,5,3,False,False
132,frame_0001.jpg,0.4,0.4091,0.3182,0.1667,1.0,8,1,False,False
133,frame_0083.jpg,33.2,0.4042,0.3524,0.3333,0.64,5,2,False,False
134,frame_0319.jpg,127.6,0.404,0.596,0.1667,0.28,10,1,False,False
135,frame_0087.jpg,34.8,0.4039,0.5158,0.1667,0.48,4,1,False,False
136,frame_0393.jpg,157.2,0.4013,0.4866,0.5,0.04,9,3,False,False
137,frame_0213.jpg,85.2,0.4009,0.3778,0.3333,0.56,4,2,False,False
138,frame_0173.jpg,69.2,0.4004,0.5568,0.1667,0.36,9,1,False,False
139,frame_0308.jpg,123.2,0.3992,0.6344,0.1667,0.16,7,1,False,False
140,frame_0077.jpg,30.8,0.3972,0.4424,0.0,0.88,5,0,False,False
141,frame_0115.jpg,46.0,0.3968,0.4657,0.3333,0.32,7,2,False,False
142,frame_0200.jpg,80.0,0.3965,0.4849,0.1667,0.52,3,1,False,False
143,frame_0208.jpg,83.2,0.3963,0.3885,0.1667,0.76,4,1,False,False
144,frame_0386.jpg,154.4,0.3938,0.4916,0.3333,0.24,8,2,False,False
145,frame_0332.jpg,132.8,0.3933,0.4707,0.5,0.04,7,3,False,False
146,frame_0012.jpg,4.8,0.3929,0.3857,0.0,1.0,4,0,False,False
147,frame_0314.jpg,125.6,0.3929,0.5538,0.3333,0.08,7,2,False,False
148,frame_0215.jpg,86.0,0.3927,0.4933,0.1667,0.48,7,1,False,False
149,frame_0223.jpg,89.2,0.3917,0.5194,0.3333,0.16,8,2,False,False
150,frame_0373.jpg,149.2,0.3915,0.419,0.5,0.16,7,3,False,False
151,frame_0119.jpg,47.6,0.3901,0.3882,0.3333,0.48,7,2,False,False
152,frame_0206.jpg,82.4,0.3889,0.3738,0.1667,0.76,4,1,False,False
153,frame_0311.jpg,124.4,0.3863,0.4567,0.5,0.04,7,3,False,False
154,frame_0293.jpg,117.2,0.386,0.3679,0.1667,0.76,9,1,False,False
155,frame_0295.jpg,118.0,0.3836,0.3951,0.1667,0.68,8,1,False,False
156,frame_0092.jpg,36.8,0.3826,0.3531,0.5,0.28,5,3,False,False
157,frame_0306.jpg,122.4,0.3819,0.5678,0.1667,0.24,8,1,False,False
158,frame_0072.jpg,28.8,0.3818,0.3636,0.0,1.0,10,0,False,False
159,frame_0229.jpg,91.6,0.3816,0.5313,0.3333,0.08,7,2,False,False
160,frame_0370.jpg,148.0,0.3809,0.6457,0.1667,0.04,8,1,False,False
161,frame_0128.jpg,51.2,0.3794,0.3227,0.1667,0.84,7,1,False,False
162,frame_0114.jpg,45.6,0.3785,0.445,0.3333,0.28,8,2,False,False
163,frame_0185.jpg,74.0,0.3775,0.523,0.3333,0.08,8,2,False,False
164,frame_0116.jpg,46.4,0.3772,0.4104,0.3333,0.36,9,2,False,False
165,frame_0292.jpg,116.8,0.377,0.434,0.0,0.8,9,0,False,False
166,frame_0028.jpg,11.2,0.3742,0.2484,0.1667,1.0,5,1,False,False
167,frame_0279.jpg,111.6,0.3726,0.5011,0.1667,0.36,7,1,False,False
168,frame_0093.jpg,37.2,0.3715,0.447,0.3333,0.24,7,2,False,False
169,frame_0294.jpg,117.6,0.3704,0.4528,0.0,0.72,6,0,False,False
170,frame_0197.jpg,78.8,0.3691,0.4782,0.1667,0.4,2,1,False,False
171,frame_0282.jpg,112.8,0.3669,0.4418,0.1667,0.48,7,1,False,False
172,frame_0382.jpg,152.8,0.3627,0.5934,0.1667,0.08,13,1,False,False
173,frame_0221.jpg,88.4,0.3625,0.429,0.3333,0.24,7,2,False,False
174,frame_0329.jpg,131.6,0.3622,0.4924,0.3333,0.08,13,2,False,False
175,frame_0090.jpg,36.0,0.3617,0.3795,0.3333,0.36,5,2,False,False
176,frame_0274.jpg,109.6,0.3604,0.4569,0.3333,0.16,7,2,False,False
177,frame_0298.jpg,119.2,0.3577,0.3914,0.1667,0.56,6,1,False,False
178,frame_0131.jpg,52.4,0.3533,0.3225,0.0,0.96,7,0,False,False
179,frame_0217.jpg,86.8,0.3525,0.4449,0.1667,0.4,3,1,False,False
180,frame_0376.jpg,150.4,0.3507,0.5374,0.1667,0.16,7,1,False,False
181,frame_0330.jpg,132.0,0.3491,0.4822,0.3333,0.04,11,2,False,False
182,frame_0226.jpg,90.4,0.3486,0.5812,0.1667,0.04,5,1,False,False
183,frame_0275.jpg,110.0,0.3485,0.5169,0.1667,0.2,9,1,False,False
184,frame_0230.jpg,92.0,0.347,0.446,0.3333,0.12,10,2,False,False
185,frame_0109.jpg,43.6,0.3468,0.5615,0.1667,0.08,9,1,False,False
186,frame_0285.jpg,114.0,0.3438,0.3475,0.1667,0.6,7,1,False,False
187,frame_0023.jpg,9.2,0.3425,0.285,0.0,1.0,6,0,False,False
188,frame_0219.jpg,87.6,0.3404,0.3529,0.3333,0.32,5,2,False,False
189,frame_0268.jpg,107.2,0.3403,0.4487,0.3333,0.08,5,2,False,False
190,frame_0228.jpg,91.2,0.3385,0.461,0.3333,0.04,6,2,False,False
191,frame_0309.jpg,123.6,0.3364,0.4249,0.3333,0.12,7,2,False,False
192,frame_0118.jpg,47.2,0.3344,0.3928,0.1667,0.44,7,1,False,False
193,frame_0301.jpg,120.4,0.3341,0.3921,0.1667,0.44,10,1,False,False
194,frame_0297.jpg,118.8,0.3336,0.4271,0.0,0.6,8,0,False,False
195,frame_0283.jpg,113.2,0.3335,0.259,0.3333,0.52,6,2,False,False
196,frame_0375.jpg,150.0,0.331,0.482,0.1667,0.2,7,1,False,False
197,frame_0304.jpg,121.6,0.3306,0.4332,0.1667,0.32,6,1,False,False
198,frame_0169.jpg,67.6,0.3268,0.3455,0.1667,0.52,9,1,False,False
199,frame_0106.jpg,42.4,0.3249,0.5337,0.1667,0.04,10,1,False,False
200,frame_0318.jpg,127.2,0.3218,0.4476,0.1667,0.24,8,1,False,False
201,frame_0281.jpg,112.4,0.3214,0.3668,0.1667,0.44,8,1,False,False
202,frame_0027.jpg,10.8,0.3191,0.2382,0.0,1.0,6,0,False,False
203,frame_0290.jpg,116.0,0.3167,0.3133,0.0,0.8,7,0,False,False
204,frame_0273.jpg,109.2,0.316,0.3841,0.3333,0.12,6,2,False,False
205,frame_0111.jpg,44.4,0.3127,0.4613,0.1667,0.16,5,1,False,False
206,frame_0310.jpg,124.0,0.3105,0.3891,0.3333,0.08,9,2,False,False
207,frame_0222.jpg,88.8,0.31,0.4399,0.1667,0.2,7,1,False,False
208,frame_0280.jpg,112.0,0.3081,0.2563,0.3333,0.4,8,2,False,False
209,frame_0201.jpg,80.4,0.3072,0.2903,0.1667,0.56,5,1,False,False
210,frame_0317.jpg,126.8,0.3034,0.4268,0.1667,0.2,8,1,False,False
211,frame_0394.jpg,157.6,0.3024,0.4728,0.1667,0.08,6,1,False,False
212,frame_0198.jpg,79.2,0.2967,0.3174,0.1667,0.44,3,1,False,False
213,frame_0102.jpg,40.8,0.2956,0.3433,0.3333,0.12,6,2,False,False
214,frame_0195.jpg,78.0,0.2936,0.3592,0.1667,0.32,5,1,False,False
215,frame_0025.jpg,10.0,0.2924,0.1848,0.0,1.0,6,0,False,False
216,frame_0371.jpg,148.4,0.2919,0.4518,0.1667,0.08,5,1,False,False
217,frame_0085.jpg,34.0,0.2872,0.3503,0.0,0.56,4,0,False,False
218,frame_0113.jpg,45.2,0.2853,0.3745,0.1667,0.24,7,1,False,False
219,frame_0289.jpg,115.6,0.2838,0.2635,0.0,0.76,5,0,False,False
220,frame_0010.jpg,4.0,0.2795,0.1589,0.0,1.0,3,0,False,False
221,frame_0122.jpg,48.8,0.2792,0.3183,0.0,0.6,8,0,False,False
222,frame_0084.jpg,33.6,0.278,0.316,0.0,0.6,4,0,False,False
223,frame_0024.jpg,9.6,0.2769,0.1538,0.0,1.0,3,0,False,False
224,frame_0194.jpg,77.6,0.275,0.338,0.1667,0.28,4,1,False,False
225,frame_0381.jpg,152.4,0.2706,0.4251,0.1667,0.04,7,1,False,False
226,frame_0184.jpg,73.6,0.2701,0.4082,0.1667,0.08,7,1,False,False
227,frame_0389.jpg,155.6,0.2612,0.3744,0.1667,0.12,8,1,False,False
228,frame_0220.jpg,88.0,0.2609,0.4098,0.0,0.28,5,0,False,False
229,frame_0267.jpg,106.8,0.2554,0.3628,0.1667,0.12,8,1,False,False
230,frame_0123.jpg,49.2,0.254,0.2521,0.0,0.64,8,0,False,False
231,frame_0100.jpg,40.0,0.2522,0.2885,0.3333,0.04,5,2,False,False
232,frame_0117.jpg,46.8,0.2506,0.3412,0.0,0.4,8,0,False,False
233,frame_0323.jpg,129.2,0.244,0.34,0.1667,0.12,9,1,False,False
234,frame_0272.jpg,108.8,0.2429,0.3538,0.1667,0.08,4,1,False,False
235,frame_0320.jpg,128.0,0.2425,0.3891,0.0,0.24,7,0,False,False
236,frame_0271.jpg,108.4,0.2412,0.2664,0.3333,0.04,6,2,False,False
237,frame_0216.jpg,86.4,0.2358,0.1956,0.1667,0.44,5,1,False,False
238,frame_0324.jpg,129.6,0.2356,0.3391,0.1667,0.08,8,1,False,False
239,frame_0091.jpg,36.4,0.2351,0.3423,0.0,0.32,3,0,False,False
240,frame_0196.jpg,78.4,0.2314,0.3189,0.0,0.36,3,0,False,False
241,frame_0192.jpg,76.8,0.2301,0.2802,0.1667,0.2,5,1,False,False
242,frame_0175.jpg,70.0,0.2296,0.3472,0.0,0.28,6,0,False,False
243,frame_0269.jpg,107.6,0.2246,0.3332,0.1667,0.04,6,1,False,False
244,frame_0218.jpg,87.2,0.2209,0.1978,0.1667,0.36,5,1,False,False
245,frame_0101.jpg,40.4,0.2183,0.3046,0.1667,0.08,4,1,False,False
246,frame_0225.jpg,90.0,0.2076,0.3831,0.0,0.08,7,0,False,False
247,frame_0189.jpg,75.6,0.207,0.282,0.1667,0.08,6,1,False,False
248,frame_0224.jpg,89.6,0.2054,0.2628,0.1667,0.12,6,1,False,False
249,frame_0191.jpg,76.4,0.1948,0.2256,0.1667,0.16,6,1,False,False
250,frame_0112.jpg,44.8,0.1935,0.207,0.1667,0.2,5,1,False,False
251,frame_0179.jpg,71.6,0.1901,0.3323,0.0,0.12,8,0,False,False
252,frame_0088.jpg,35.2,0.1749,0.1737,0.0,0.44,3,0,False,False
253,frame_0183.jpg,73.2,0.1724,0.2287,0.1667,0.04,6,1,False,False
254,frame_0104.jpg,41.6,0.1697,0.2914,0.0,0.12,10,0,False,False
255,frame_0110.jpg,44.0,0.1237,0.1993,0.0,0.12,4,0,False,False
256,frame_0313.jpg,125.2,0.1195,0.223,0.0,0.04,6,0,False,False
